Seq	JobRuntime	Send	Receive	Exitval	Signal	Command
2	     0.608	0	142	0	0	python3 run.py minionpar 04 005
4	     0.726	0	142	0	0	python3 run.py minionpar 06 002
5	     1.224	0	142	0	0	python3 run.py minionpar 07 017
1	     3.108	0	142	0	0	python3 run.py minionpar 10 008
3	     4.254	0	142	0	0	python3 run.py minionpar 08 018
8	     1.444	0	142	0	0	python3 run.py minionpar 08 028
9	     1.753	0	142	0	0	python3 run.py minionpar 10 002
11	     1.993	0	142	0	0	python3 run.py minionpar 10 043
12	     0.694	0	142	0	0	python3 run.py minionpar 03 002
13	     0.726	0	142	0	0	python3 run.py minionpar 06 014
14	     1.434	0	142	0	0	python3 run.py minionpar 08 004
6	    13.351	0	142	0	0	python3 run.py minionpar 10 017
16	     2.801	0	142	0	0	python3 run.py minionpar 10 042
17	     1.663	0	142	0	0	python3 run.py minionpar 09 004
18	     3.240	0	142	0	0	python3 run.py minionpar 09 031
19	     1.130	0	142	0	0	python3 run.py minionpar 07 007
20	     1.616	0	142	0	0	python3 run.py minionpar 08 024
10	    20.213	0	142	0	0	python3 run.py minionpar 10 036
22	     0.630	0	142	0	0	python3 run.py minionpar 04 001
23	     1.491	0	142	0	0	python3 run.py minionpar 07 014
24	     1.747	0	142	0	0	python3 run.py minionpar 10 045
25	     1.065	0	142	0	0	python3 run.py minionpar 07 018
26	     3.235	0	142	0	0	python3 run.py minionpar 10 005
15	    25.450	0	142	0	0	python3 run.py minionpar 10 020
28	     0.562	0	142	0	0	python3 run.py minionpar 04 006
29	     4.944	0	142	0	0	python3 run.py minionpar 10 040
7	    69.679	0	142	0	0	python3 run.py minionpar 10 030
30	    30.998	0	142	0	0	python3 run.py minionpar 10 021
32	     0.796	0	142	0	0	python3 run.py minionpar 06 000
21	    51.284	0	142	0	0	python3 run.py minionpar 10 024
33	     3.773	0	142	0	0	python3 run.py minionpar 10 011
35	     0.553	0	142	0	0	python3 run.py minionpar 03 001
36	     1.172	0	142	0	0	python3 run.py minionpar 07 002
37	     0.882	0	142	0	0	python3 run.py minionpar 06 011
