solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverMemOut, SolverNodes, SolverSatisfiable, SolverSetupTime, SolverSolutionsFound, SolverSolveTime, SolverTimeOut, SolverTotalTime, TotalTime
minionpar, 01, 000, NA, NA, 0, 0, 0.05, NA, 1, 1, 1.3e-05, 1, 8e-06, 0, 8.6e-05, 0.050086000000000006
minionpar, 02, 000, NA, NA, 0, 0, 0.062, NA, 1, 1, 3.9e-05, 1, 3e-05, 0, 0.000459, 0.062459
minionpar, 02, 001, NA, NA, 0, 0, 0.063, NA, 1, 1, 3e-05, 1, 1.7e-05, 0, 0.000404, 0.063404
minionpar, 03, 000, NA, NA, 0, 0, 0.082, NA, 1, 1, 0, 1, 0, 0, 0.000252, 0.082252
minionpar, 03, 001, NA, NA, 0, 0, 0.081, NA, 3, 1, 0.000134, 2, 0.000194, 0, 0.000966, 0.081966
minionpar, 03, 002, NA, NA, 0, 0, 0.083, NA, 4, 1, 0, 2, 0, 0, 0, 0.083
minionpar, 03, 003, NA, NA, 0, 0, 0.083, NA, 1, 1, 0, 1, 0, 0, 0, 0.083
minionpar, 04, 000, NA, NA, 0, 0, 0.122, NA, 1, 1, 1.9e-05, 1, 1e-05, 0, 0.000298, 0.122298
minionpar, 04, 001, NA, NA, 0, 0, 0.115, NA, 4, 1, 4.4e-05, 2, 0, 0, 0.000336, 0.11533600000000001
minionpar, 04, 002, NA, NA, 0, 0, 0.116, NA, 14, 1, 0.000117, 5, 0.000342, 0, 0.002053, 0.118053
minionpar, 04, 003, NA, NA, 0, 0, 0.117, NA, 19, 1, 0.000161, 6, 0.000635, 0, 0.003086, 0.12008600000000001
minionpar, 04, 004, NA, NA, 0, 0, 0.118, NA, 13, 1, 0.000146, 5, 0.000445, 0, 0.002114, 0.120114
minionpar, 04, 005, NA, NA, 0, 0, 0.119, NA, 6, 1, 0, 3, 0, 0, 0, 0.119
minionpar, 04, 006, NA, NA, 0, 0, 0.114, NA, 1, 1, 2.4e-05, 1, 1.7e-05, 0, 0.000549, 0.114549
minionpar, 05, 000, NA, NA, 0, 0, 0.163, NA, 1, 1, 1.7e-05, 1, 9e-06, 0, 0.000296, 0.163296
minionpar, 05, 001, NA, NA, 0, 0, 0.163, NA, 4, 1, 0.000151, 2, 0, 0, 0.0008, 0.1638
minionpar, 05, 002, NA, NA, 0, 0, 0.171, NA, 19, 1, 0.000216, 5, 0.00011, 0, 0.004102, 0.175102
minionpar, 05, 003, NA, NA, 0, 0, 0.185, NA, 43, 1, 0, 10, 0.000659, 0, 0.011562, 0.196562
