solver, length, nbInv, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverNodes, SolverSatisfiable, SolverSetupTime, SolverSolutionsFound, SolverSolveTime, SolverTimeOut, SolverTotalTime, TotalTime
minionpar, 01, 000, 0, 0, 0.064, 1, 1, 2.9e-05, 1, 4.2e-05, 0, 0.000251, 0.064251
minionpar, 02, 000, 0, 0, 0.103, 0, 0, 0, 0, 0, 0, 0, 0.103
minionpar, 02, 001, 0, 0, 0.094, 0, 0, 2.9e-05, 0, 4e-06, 0, 0.000128, 0.094128
minionpar, 03, 000, 0, 0, 0.16, 0, 0, 4.4e-05, 0, 1.3e-05, 0, 0.000255, 0.160255
minionpar, 03, 001, 0, 0, 0.16, 0, 0, 1.5e-05, 0, 4e-06, 0, 8.3e-05, 0.160083
minionpar, 03, 002, 0, 0, 0.166, 0, 0, 1.4e-05, 0, 5e-06, 0, 0.0001, 0.1661
minionpar, 03, 003, 0, 0, 0.163, 0, 0, 0, 0, 0, 0, 8.7e-05, 0.163087
minionpar, 04, 000, 0, 0, 0.362, 0, 0, 0, 0, 0, 0, 0, 0.362
minionpar, 04, 001, 0, 0, 0.317, 0, 0, 5.1e-05, 0, 1.4e-05, 0, 0.000296, 0.317296
minionpar, 04, 002, 0, 0, 0.319, 0, 0, 2.2e-05, 0, 5e-06, 0, 0.000124, 0.319124
minionpar, 04, 003, 0, 0, 0.356, 5, 1, 0.000395, 2, 0.000352, 0, 0.001207, 0.357207
minionpar, 04, 004, 0, 0, 0.317, 0, 0, 0, 0, 0, 0, 0, 0.317
minionpar, 04, 005, 0, 0, 0.304, 0, 0, 6.1e-05, 0, 1.7e-05, 0, 0.00032, 0.30432
minionpar, 04, 006, 0, 0, 0.32, 0, 0, 2.1e-05, 0, 5e-06, 0, 0.000127, 0.320127
minionpar, 05, 000, 0, 0, 0.649, 0, 0, 2.4e-05, 0, 5e-06, 0, 0.000124, 0.649124
minionpar, 05, 001, 0, 0, 0.622, 0, 0, 1.9e-05, 0, 6e-06, 0, 0.000118, 0.622118
minionpar, 05, 002, 0, 0, 0.795, 0, 0, 4.5e-05, 0, 1.1e-05, 0, 0.000263, 0.795263
minionpar, 05, 003, 0, 0, 0.628, 0, 0, 0, 0, 0, 0, 0, 0.628
minionpar, 05, 004, 0, 0, 0.685, 26, 1, 0.00026, 6, 0.000652, 0, 0.031006, 0.716006
