instance,solver,Wall time - Conjure translate param,Wall time - Savile Row,Wall time - Solver,correct,Total Nodes,Solutions Found
123--001,minion, 0.24, 0.84, 0.04,Correct, 1, 1
123--002,minion, 0.34, 0.91, 0.03,Correct, 3, 2
123--003,minion, 0.29, 1.04, 0.03,Correct, 10, 5
123--004,minion, 0.32, 1.06, 0.03,Correct, 35, 14
123--005,minion, 0.26, 1.12, 0.03,Correct, 128, 42
123--006,minion, 0.26, 1.27, 0.04,Correct, 486, 132
123--007,minion, 0.26, 1.39, 0.04,Correct, 1900, 429
123--008,minion, 0.39, 1.30, 0.05,Correct, 7600, 1430
123--009,minion, 0.28, 1.43, 0.13,Correct, 30979, 4862
123--010,minion, 0.25, 1.46, 0.52,Correct, 128360, 16796
1342--001,minion, 0.28, 0.87, 0.04,Correct, 1, 1
1342--002,minion, 0.28, 1.01, 0.03,Correct, 3, 2
1342--003,minion, 0.29, 1.01, 0.03,Correct, 11, 6
1342--004,minion, 0.27, 1.25, 0.04,Correct, 46, 23
1342--005,minion, 0.27, 1.35, 0.05,Correct, 219, 103
1342--006,minion, 0.29, 1.50, 0.05,Correct, 1162, 512
1342--007,minion, 0.27, 1.74, 0.06,Correct, 6704, 2740
1342--008,minion, 0.35, 1.95, 0.16,Correct, 41245, 15485
1342--009,minion, 0.25, 2.27, 1.06,Correct, 266874, 91245
1342--010,minion, 0.31, 2.74, 9.72,Correct, 1798372, 555662
1234--001,minion, 0.26, 0.91, 0.03,Correct, 1, 1
1234--002,minion, 0.27, 0.94, 0.04,Correct, 3, 2
1234--003,minion, 0.35, 0.98, 0.03,Correct, 11, 6
1234--004,minion, 0.31, 1.28, 0.07,Correct, 46, 23
1234--005,minion, 0.29, 1.29, 0.05,Correct, 220, 103
1234--006,minion, 0.28, 1.45, 0.04,Correct, 1178, 513
1234--007,minion, 0.27, 1.61, 0.06,Correct, 6877, 2761
1234--008,minion, 0.24, 2.10, 0.19,Correct, 42848, 15767
1234--009,minion, 0.36, 2.48, 0.91,Correct, 280654, 94359
1234--010,minion, 0.27, 2.66, 7.39,Correct, 1912267, 586590
1324--001,minion, 0.36, 0.95, 0.03,Correct, 1, 1
1324--002,minion, 0.27, 0.93, 0.04,Correct, 3, 2
1324--003,minion, 0.26, 1.06, 0.03,Correct, 11, 6
1324--004,minion, 0.24, 1.20, 0.03,Correct, 46, 23
1324--005,minion, 0.24, 1.48, 0.03,Correct, 220, 103
1324--006,minion, 0.27, 1.46, 0.05,Correct, 1178, 513
1324--007,minion, 0.26, 1.70, 0.05,Correct, 6879, 2762
1324--008,minion, 0.32, 1.91, 0.14,Correct, 42907, 15793
1324--009,minion, 0.25, 2.27, 0.98,Correct, 281714, 94776
1324--010,minion, 0.29, 2.90, 8.39,Correct, 1927360, 591950
123-321--001,minion, 0.30, 0.89, 0.03,Correct, 1, 1
123-321--002,minion, 0.29, 0.90, 0.04,Correct, 3, 2
123-321--003,minion, 0.28, 1.09, 0.04,Correct, 8, 4
123-321--004,minion, 0.33, 1.21, 0.04,Correct, 7, 4
123-321--005,minion, 0.30, 1.40, 0.04,Correct, 0, 0
123-321--006,minion, 0.29, 1.34, 0.04,Correct, 0, 0
123-321--007,minion, 0.25, 1.37, 0.04,Correct, 0, 0
123-321--008,minion, 0.33, 1.36, 0.03,Correct, 0, 0
123-321--009,minion, 0.29, 1.52, 0.04,Correct, 0, 0
123-321--010,minion, 0.32, 1.68, 0.03,Correct, 0, 0
213-321--001,minion, 0.25, 0.92, 0.04,Correct, 1, 1
213-321--002,minion, 0.27, 0.97, 0.04,Correct, 3, 2
213-321--003,minion, 0.30, 1.02, 0.03,Correct, 8, 4
213-321--004,minion, 0.27, 1.20, 0.03,Correct, 20, 7
213-321--005,minion, 0.29, 1.31, 0.04,Correct, 51, 11
213-321--006,minion, 0.30, 1.45, 0.03,Correct, 137, 16
213-321--007,minion, 0.29, 1.46, 0.04,Correct, 382, 22
213-321--008,minion, 0.30, 2.07, 0.05,Correct, 1076, 29
213-321--009,minion, 0.30, 1.97, 0.05,Correct, 3003, 37
213-321--010,minion, 0.31, 2.06, 0.11,Correct, 8227, 46
231-321--001,minion, 0.30, 1.22, 0.05,Correct, 1, 1
231-321--002,minion, 0.34, 1.21, 0.05,Correct, 3, 2
231-321--003,minion, 0.31, 1.05, 0.04,Correct, 7, 4
231-321--004,minion, 0.32, 1.20, 0.04,Correct, 17, 8
231-321--005,minion, 0.28, 1.37, 0.03,Correct, 39, 16
231-321--006,minion, 0.29, 1.41, 0.03,Correct, 101, 32
231-321--007,minion, 0.28, 1.48, 0.03,Correct, 259, 64
231-321--008,minion, 0.25, 1.69, 0.05,Correct, 705, 128
231-321--009,minion, 0.33, 1.86, 0.04,Correct, 1903, 256
231-321--010,minion, 0.29, 1.75, 0.06,Correct, 5245, 512
321-1234--001,minion, 0.27, 0.90, 0.05,Correct, 1, 1
321-1234--002,minion, 0.27, 1.00, 0.04,Correct, 3, 2
321-1234--003,minion, 0.29, 1.21, 0.04,Correct, 9, 5
321-1234--004,minion, 0.25, 1.40, 0.05,Correct, 28, 13
321-1234--005,minion, 0.29, 1.37, 0.03,Correct, 70, 25
321-1234--006,minion, 0.30, 1.77, 0.03,Correct, 144, 25
321-1234--007,minion, 0.33, 1.84, 0.04,Correct, 320, 0
321-1234--008,minion, 0.29, 2.12, 0.04,Correct, 864, 0
321-1234--009,minion, 0.27, 2.54, 0.05,Correct, 1651, 0
321-1234--010,minion, 0.32, 2.84, 0.07,Correct, 2563, 0
321-2134--001,minion, 0.31, 0.92, 0.03,Correct, 1, 1
321-2134--002,minion, 0.29, 0.95, 0.04,Correct, 3, 2
321-2134--003,minion, 0.31, 1.12, 0.03,Correct, 9, 5
