instance,solver,Wall time - Conjure translate param,Wall time - Savile Row,Wall time - Solver,correct,Total Nodes,Solutions Found
123--001,sat, 0.35, 0.82, 0.01,Correct,,            1
123--002,sat, 0.28, 0.91, 0.01,Correct,,            2
123--003,sat, 0.28, 1.05, 0.03,Correct,,            5
123--004,sat, 0.32, 1.17, 0.01,Correct,,           14
123--005,sat, 0.30, 1.22, 0.01,Correct,,           42
123--006,sat, 0.27, 1.33, 0.03,Correct,,          132
123--007,sat, 0.29, 1.38, 0.02,Correct,,          429
123--008,sat, 0.27, 1.63, 0.03,Correct,,         1430
123--009,sat, 0.27, 1.55, 0.11,Correct,,         4862
123--010,sat, 0.26, 1.54, 0.34,Correct,,        16796
1342--001,sat, 0.29, 0.90, 0.02,Correct,,            1
1342--002,sat, 0.25, 0.94, 0.01,Correct,,            2
1342--003,sat, 0.32, 1.08, 0.01,Correct,,            6
1342--004,sat, 0.26, 1.30, 0.02,Correct,,           23
1342--005,sat, 0.29, 1.31, 0.01,Correct,,          103
1342--006,sat, 0.27, 1.59, 0.02,Correct,,          512
1342--007,sat, 0.26, 1.76, 0.05,Correct,,         2740
1342--008,sat, 0.25, 1.96, 0.22,Correct,,        15485
1342--009,sat, 0.25, 2.46, 1.40,Correct,,        91245
1342--010,sat, 0.29, 2.75, 9.03,Correct,,       555662
1234--001,sat, 0.36, 1.06, 0.01,Correct,,            1
1234--002,sat, 0.27, 0.95, 0.01,Correct,,            2
1234--003,sat, 0.28, 1.12, 0.01,Correct,,            6
1234--004,sat, 0.27, 1.27, 0.01,Correct,,           23
1234--005,sat, 0.28, 1.32, 0.01,Correct,,          103
1234--006,sat, 0.31, 1.48, 0.02,Correct,,          513
1234--007,sat, 0.25, 1.67, 0.05,Correct,,         2761
1234--008,sat, 0.27, 1.95, 0.26,Correct,,        15767
1234--009,sat, 0.29, 2.40, 1.44,Correct,,        94359
1234--010,sat, 0.26, 2.68, 9.14,Correct,,       586590
1324--001,sat, 0.30, 0.86, 0.01,Correct,,            1
1324--002,sat, 0.27, 0.99, 0.01,Correct,,            2
1324--003,sat, 0.31, 1.06, 0.01,Correct,,            6
1324--004,sat, 0.29, 1.29, 0.01,Correct,,           23
1324--005,sat, 0.25, 1.32, 0.01,Correct,,          103
1324--006,sat, 0.27, 1.52, 0.02,Correct,,          513
1324--007,sat, 0.28, 1.74, 0.05,Correct,,         2762
1324--008,sat, 0.30, 2.08, 0.24,Correct,,        15793
1324--009,sat, 0.25, 2.53, 1.46,Correct,,        94776
1324--010,sat, 0.32, 2.78, 9.30,Correct,,       591950
123-321--001,sat, 0.30, 0.91, 0.01,Correct,,            1
123-321--002,sat, 0.28, 0.98, 0.01,Correct,,            2
123-321--003,sat, 0.26, 1.03, 0.01,Correct,,            4
123-321--004,sat, 0.29, 1.20, 0.01,Correct,,            4
123-321--005,sat, 0.27, 1.27, 0.01,Not found,,
123-321--006,sat, 0.28, 1.39, 0.01,Not found,,
123-321--007,sat, 0.29, 1.40, 0.01,Not found,,
123-321--008,sat, 0.27, 1.54, 0.01,Not found,,
123-321--009,sat, 0.32, 1.54, 0.02,Not found,,
123-321--010,sat, 0.30, 1.61, 0.01,Not found,,
213-321--001,sat, 0.31, 0.92, 0.01,Correct,,            1
213-321--002,sat, 0.30, 0.96, 0.01,Correct,,            2
213-321--003,sat, 0.26, 1.05, 0.01,Correct,,            4
213-321--004,sat, 0.27, 1.20, 0.01,Correct,,            7
213-321--005,sat, 0.28, 1.30, 0.01,Correct,,           11
213-321--006,sat, 0.27, 1.44, 0.01,Correct,,           16
213-321--007,sat, 0.32, 1.63, 0.02,Correct,,           22
213-321--008,sat, 0.30, 1.87, 0.01,Correct,,           29
213-321--009,sat, 0.28, 1.87, 0.02,Correct,,           37
213-321--010,sat, 0.32, 2.16, 0.02,Correct,,           46
231-321--001,sat, 0.28, 0.95, 0.01,Correct,,            1
231-321--002,sat, 0.29, 0.97, 0.01,Correct,,            2
231-321--003,sat, 0.29, 1.10, 0.01,Correct,,            4
231-321--004,sat, 0.34, 1.25, 0.02,Correct,,            8
231-321--005,sat, 0.29, 1.37, 0.03,Correct,,           16
231-321--006,sat, 0.30, 1.55, 0.01,Correct,,           32
231-321--007,sat, 0.28, 2.06, 0.01,Correct,,           64
231-321--008,sat, 0.33, 1.61, 0.01,Correct,,          128
231-321--009,sat, 0.28, 1.61, 0.01,Correct,,          256
231-321--010,sat, 0.26, 1.74, 0.03,Correct,,          512
321-1234--001,sat, 0.26, 0.88, 0.01,Correct,,            1
321-1234--002,sat, 0.26, 1.05, 0.01,Correct,,            2
321-1234--003,sat, 0.27, 1.19, 0.01,Correct,,            5
321-1234--004,sat, 0.26, 1.42, 0.01,Correct,,           13
321-1234--005,sat, 0.29, 1.46, 0.01,Correct,,           25
321-1234--006,sat, 0.31, 1.67, 0.01,Correct,,           25
321-1234--007,sat, 0.27, 1.79, 0.01,Correct,,            0
321-1234--008,sat, 0.26, 2.20, 0.02,Correct,,            0
321-1234--009,sat, 0.32, 2.58, 0.01,Correct,,            0
321-1234--010,sat, 0.26, 2.90, 0.02,Correct,,            0
321-2134--001,sat, 0.30, 0.93, 0.01,Correct,,            1
321-2134--002,sat, 0.27, 0.99, 0.01,Correct,,            2
321-2134--003,sat, 0.28, 1.19, 0.01,Correct,,            5
321-2134--004,sat, 0.29, 1.42, 0.01,Correct,,           13
321-2134--005,sat, 0.29, 1.49, 0.01,Correct,,           30
321-2134--006,sat, 0.30, 1.91, 0.01,Correct,,           61
321-2134--007,sat, 0.30, 1.81, 0.02,Correct,,          112
321-2134--008,sat, 0.26, 2.44, 0.02,Correct,,          190
321-2134--009,sat, 0.34, 2.71, 0.02,Correct,,          303
321-2134--010,sat, 0.27, 3.44, 0.04,Correct,,          460
132-4321--001,sat, 0.26, 0.97, 0.01,Correct,,            1
132-4321--002,sat, 0.31, 1.07, 0.02,Correct,,            2
132-4321--003,sat, 0.30, 1.17, 0.01,Correct,,            5
132-4321--004,sat, 0.29, 1.34, 0.01,Correct,,           13
132-4321--005,sat, 0.27, 1.42, 0.02,Correct,,           31
132-4321--006,sat, 0.27, 1.67, 0.01,Correct,,           66
132-4321--007,sat, 0.28, 1.96, 0.02,Correct,,          127
132-4321--008,sat, 0.34, 2.11, 0.03,Correct,,          225
132-4321--009,sat, 0.28, 2.52, 0.06,Correct,,          373
132-4321--010,sat, 0.31, 2.88, 0.05,Correct,,          586
321-1324--001,sat, 0.31, 1.02, 0.01,Correct,,            1
321-1324--002,sat, 0.28, 1.11, 0.02,Correct,,            2
321-1324--003,sat, 0.34, 1.34, 0.02,Correct,,            5
321-1324--004,sat, 0.32, 1.41, 0.02,Correct,,           13
321-1324--005,sat, 0.32, 1.49, 0.03,Correct,,           32
321-1324--006,sat, 0.31, 1.66, 0.02,Correct,,           72
321-1324--007,sat, 0.28, 1.87, 0.01,Correct,,          148
321-1324--008,sat, 0.26, 2.31, 0.02,Correct,,          281
321-1324--009,sat, 0.29, 2.47, 0.03,Correct,,          499
321-1324--010,sat, 0.31, 2.81, 0.06,Correct,,          838
321-1342--001,sat, 0.31, 0.91, 0.01,Correct,,            1
321-1342--002,sat, 0.31, 0.96, 0.02,Correct,,            2
321-1342--003,sat, 0.29, 1.17, 0.01,Correct,,            5
321-1342--004,sat, 0.28, 1.33, 0.01,Correct,,           13
321-1342--005,sat, 0.32, 1.35, 0.01,Correct,,           32
321-1342--006,sat, 0.29, 1.55, 0.01,Correct,,           74
321-1342--007,sat, 0.33, 1.88, 0.02,Correct,,          163
321-1342--008,sat, 0.28, 2.09, 0.02,Correct,,          347
321-1342--009,sat, 0.28, 2.51, 0.03,Correct,,          722
321-1342--010,sat, 0.28, 2.72, 0.06,Correct,,         1480
321-2143--001,sat, 0.25, 0.86, 0.01,Correct,,            1
321-2143--002,sat, 0.27, 0.94, 0.01,Correct,,            2
321-2143--003,sat, 0.27, 1.14, 0.01,Correct,,            5
321-2143--004,sat, 0.27, 1.27, 0.01,Correct,,           13
321-2143--005,sat, 0.27, 1.34, 0.01,Correct,,           33
321-2143--006,sat, 0.29, 1.52, 0.02,Correct,,           80
321-2143--007,sat, 0.28, 1.81, 0.01,Correct,,          185
321-2143--008,sat, 0.26, 2.10, 0.03,Correct,,          411
321-2143--009,sat, 0.26, 2.52, 0.05,Correct,,          885
321-2143--010,sat, 0.31, 2.90, 0.08,Correct,,         1862
132-4312--001,sat, 0.29, 0.94, 0.01,Correct,,            1
132-4312--002,sat, 0.28, 0.94, 0.01,Correct,,            2
132-4312--003,sat, 0.29, 1.12, 0.02,Correct,,            5
132-4312--004,sat, 0.31, 1.26, 0.01,Correct,,           13
132-4312--005,sat, 0.32, 1.35, 0.02,Correct,,           33
132-4312--006,sat, 0.27, 1.47, 0.01,Correct,,           81
132-4312--007,sat, 0.26, 1.85, 0.02,Correct,,          193
132-4312--008,sat, 0.30, 2.20, 0.03,Correct,,          449
132-4312--009,sat, 0.30, 2.74, 0.06,Correct,,         1025
132-4312--010,sat, 0.29, 2.96, 0.13,Correct,,         2305
132-3214--001,sat, 0.29, 1.02, 0.01,Correct,,            1
132-3214--002,sat, 0.32, 1.07, 0.01,Correct,,            2
132-3214--003,sat, 0.32, 1.32, 0.02,Correct,,            5
132-3214--004,sat, 0.27, 1.47, 0.01,Correct,,           13
132-3214--005,sat, 0.29, 1.66, 0.01,Correct,,           33
132-3214--006,sat, 0.27, 1.54, 0.03,Correct,,           82
132-3214--007,sat, 0.30, 2.37, 0.02,Correct,,          202
132-3214--008,sat, 0.28, 2.39, 0.02,Correct,,          497
132-3214--009,sat, 0.32, 2.45, 0.04,Correct,,         1224
132-3214--010,sat, 0.26, 2.84, 0.11,Correct,,         3017
321-2341--001,sat, 0.34, 0.87, 0.01,Correct,,            1
321-2341--002,sat, 0.27, 0.94, 0.02,Correct,,            2
321-2341--003,sat, 0.27, 1.12, 0.01,Correct,,            5
321-2341--004,sat, 0.31, 1.37, 0.01,Correct,,           13
321-2341--005,sat, 0.33, 1.34, 0.02,Correct,,           34
321-2341--006,sat, 0.28, 1.65, 0.01,Correct,,           89
321-2341--007,sat, 0.31, 2.00, 0.02,Correct,,          233
321-2341--008,sat, 0.25, 2.23, 0.02,Correct,,          610
321-2341--009,sat, 0.28, 2.42, 0.04,Correct,,         1597
321-2341--010,sat, 0.30, 2.81, 0.08,Correct,,         4181
4321-1234--001,sat, 0.26, 0.88, 0.01,Correct,,            1
4321-1234--002,sat, 0.24, 0.95, 0.01,Correct,,            2
4321-1234--003,sat, 0.26, 1.26, 0.01,Correct,,            6
4321-1234--004,sat, 0.30, 1.39, 0.01,Correct,,           22
4321-1234--005,sat, 0.25, 1.43, 0.02,Correct,,           86
4321-1234--006,sat, 0.27, 1.68, 0.01,Correct,,          306
4321-1234--007,sat, 0.26, 2.24, 0.03,Correct,,          882
4321-1234--008,sat, 0.31, 2.61, 0.06,Correct,,         1764
4321-1234--009,sat, 0.27, 3.06, 0.07,Correct,,         1764
4321-1234--010,sat, 0.29, 3.75, 0.05,Correct,,            0
4312-1234--001,sat, 0.28, 0.93, 0.01,Correct,,            1
4312-1234--002,sat, 0.32, 1.04, 0.02,Correct,,            2
4312-1234--003,sat, 0.25, 1.10, 0.01,Correct,,            6
4312-1234--004,sat, 0.28, 1.38, 0.02,Correct,,           22
4312-1234--005,sat, 0.27, 1.47, 0.02,Correct,,           86
4312-1234--006,sat, 0.25, 1.90, 0.02,Correct,,          321
4312-1234--007,sat, 0.24, 1.98, 0.04,Correct,,         1085
4312-1234--008,sat, 0.26, 2.52, 0.10,Correct,,         3266
4312-1234--009,sat, 0.27, 2.92, 0.25,Correct,,         8797
4312-1234--010,sat, 0.29, 4.17, 0.69,Correct,,        21478
