instance,Problem solvable?,Total Time,Total System Time,Total Wall Time,Wall time - Conjure translate param,Wall time - Savile Row,Wall time - Minion,correct,Maximum RSS (kB),Total Nodes,Solutions Found
123--001, yes, 0.000394, 0.000661, 0.003394, 0.293274, 0.973509, 0.037001,Correct, 6344, 1, 1
123--002, yes, 0.000514, 0.000708, 0.003082, 0.292705, 1.119987, 0.029541,Correct, 6516, 3, 2
123--003, yes, 0.000557, 0.000739, 0.006636, 0.270508, 0.930741, 0.035877,Correct, 6532, 10, 5
123--004, yes, 0.000756, 0.000826, 0.004269, 0.268127, 1.131338, 0.067340,Correct, 6708, 35, 14
123--005, yes, 0.000967, 0.000915, 0.003142, 0.253053, 1.109006, 0.032914,Correct, 6696, 128, 42
123--006, yes, 0.002030, 0.001069, 0.017221, 0.296433, 1.286569, 0.052042,Correct, 6916, 486, 132
123--007, yes, 0.005210, 0.000955, 0.011440, 0.296651, 1.441638, 0.040333,Correct, 6868, 1900, 429
123--008, yes, 0.020719, 0.001032, 0.024394, 0.268189, 1.497597, 0.056099,Correct, 7020, 7600, 1430
123--009, yes, 0.096272, 0.001431, 0.100226, 0.247041, 1.679964, 0.128047,Correct, 7148, 30979, 4862
123--010, yes, 0.482718, 0.003127, 0.491850, 0.312519, 1.698638, 0.541606,Correct, 7304, 128360, 16796
1342--001, yes, 0.000448, 0.000596, 0.008504, 0.275234, 0.891914, 0.037578,Correct, 6296, 1, 1
1342--002, yes, 0.000653, 0.000663, 0.004670, 0.284335, 0.933243, 0.030524,Correct, 6452, 3, 2
1342--003, yes, 0.001171, 0.000937, 0.006024, 0.258983, 1.112377, 0.042931,Correct, 6688, 11, 6
1342--004, yes, 0.001167, 0.000779, 0.008181, 0.336160, 1.197847, 0.036227,Correct, 6680, 46, 23
1342--005, yes, 0.001597, 0.000860, 0.005981, 0.316270, 1.348997, 0.033191,Correct, 6800, 219, 103
1342--006, yes, 0.003315, 0.001005, 0.006501, 0.270537, 1.515682, 0.032198,Correct, 6968, 1162, 512
1342--007, yes, 0.015187, 0.001193, 0.018804, 0.321709, 1.766729, 0.051404,Correct, 7148, 6704, 2740
1342--008, yes, 0.121959, 0.001889, 0.131912, 0.285166, 2.116866, 0.163238,Correct, 7260, 41245, 15485
1342--009, yes, 1.034215, 0.006782, 1.068302, 0.262637, 2.360554, 1.100576,Correct, 7680, 266874, 91245
1342--010, yes, 9.499293, 0.051256, 9.656363, 0.290135, 2.671263, 9.693420,Correct, 8176, 1798372, 555662
1234--001, yes, 0.000412, 0.000809, 0.007550, 0.296288, 0.857476, 0.034843,Correct, 6348, 1, 1
1234--002, yes, 0.000729, 0.000878, 0.003309, 0.255042, 0.890430, 0.036677,Correct, 6528, 3, 2
1234--003, yes, 0.000907, 0.000750, 0.003090, 0.266727, 1.095815, 0.031668,Correct, 6564, 11, 6
1234--004, yes, 0.001220, 0.000803, 0.005123, 0.276901, 1.253409, 0.037846,Correct, 6716, 46, 23
1234--005, yes, 0.001610, 0.000794, 0.003604, 0.254815, 1.284341, 0.033519,Correct, 6800, 220, 103
1234--006, yes, 0.002944, 0.000895, 0.005759, 0.269410, 1.484411, 0.035449,Correct, 6848, 1178, 513
1234--007, yes, 0.013872, 0.001010, 0.021853, 0.274755, 1.693512, 0.052320,Correct, 7100, 6877, 2761
1234--008, yes, 0.102404, 0.001710, 0.106835, 0.241260, 2.013137, 0.137125,Correct, 7356, 42848, 15767
1234--009, yes, 0.855458, 0.004948, 0.867733, 0.262628, 2.340826, 0.894780,Correct, 7644, 280654, 94359
1234--010, yes, 7.283816, 0.033468, 7.371110, 0.247291, 2.682228, 7.433541,Correct, 8068, 1912267, 586590
1324--001, yes, 0.000435, 0.000676, 0.004622, 0.272741, 0.868974, 0.030873,Correct, 6312, 1, 1
1324--002, yes, 0.000708, 0.000712, 0.009390, 0.295394, 0.931058, 0.036929,Correct, 6504, 3, 2
1324--003, yes, 0.001116, 0.000808, 0.005783, 0.268202, 1.039246, 0.032935,Correct, 6604, 11, 6
1324--004, yes, 0.001297, 0.000973, 0.007273, 0.248436, 1.272761, 0.039374,Correct, 6692, 46, 23
1324--005, yes, 0.001620, 0.000773, 0.010294, 0.301918, 1.387233, 0.038493,Correct, 6792, 220, 103
1324--006, yes, 0.003292, 0.000854, 0.005029, 0.308039, 1.595493, 0.034840,Correct, 6968, 1178, 513
1324--007, yes, 0.015060, 0.000952, 0.017316, 0.289764, 1.957524, 0.044921,Correct, 7108, 6879, 2762
1324--008, yes, 0.109708, 0.001886, 0.113993, 0.241898, 2.229213, 0.143301,Correct, 7336, 42907, 15793
